,,event,position,timestamp,status,rate
15,9,2,153,353,1,1
15,10,1,154,354,0,1
15,11,0,154,398,1,1
15,12,2,159,410,1,1
15,13,1,161,413,0,1
15,14,0,161,419,1,1
15,15,1,164,422,0,1
15,16,0,164,428,1,1
15,17,1,168,432,0,1
15,18,0,168,438,1,1
15,19,1,177,447,0,1
15,20,0,177,453,1,1
15,21,2,224,505,1,1
15,22,1,224,505,0,1
15,23,0,224,545,1,1
15,24,2,252,576,1,1
15,25,1,252,576,0,1
15,26,0,252,583,1,1
15,27,1,255,586,0,1
15,28,0,255,591,1,1
15,29,1,270,606,0,1
15,30,0,270,608,1,1
15,31,1,271,609,0,1
15,32,0,271,614,1,1
15,33,1,293,636,0,1
15,34,0,293,644,1,1
15,35,2,301,658,1,1
15,36,1,303,660,0,1
15,37,0,303,667,1,1
15,38,1,308,672,0,1
15,39,0,308,677,1,1
15,40,1,310,679,0,1
15,41,0,310,1116,1,1
15,42,2,337,1153,1,1
15,43,1,338,1155,0,1
15,44,0,338,1162,1,1
16,0,0,0,2,1,1
16,1,1,19,21,0,1
16,2,0,19,48,1,1
16,3,2,52,85,1,1
16,4,1,249,282,0,1
16,5,0,249,306,1,1
16,6,1,290,347,0,1
16,7,0,290,352,1,1
16,8,2,300,368,1,1
16,9,1,300,368,0,1
16,10,0,300,378,1,1
17,0,0,0,1,1,1
17,1,1,1,2,0,1
17,2,0,1,11,1,1
17,3,2,65,82,1,1
17,4,1,65,84,0,1
17,5,0,65,89,1,1
17,6,1,175,199,0,1
17,7,2,170,220,0,1
17,8,1,173,223,0,1
17,9,0,173,268,1,1
17,10,2,184,287,1,1
17,11,3,188,289,1,1
17,12,2,180,293,1,1
17,13,2,194,317,1,1
17,14,2,180,324,1,1
17,15,2,188,361,1,1
17,16,2,197,405,1,1
17,17,2,190,429,1,1
17,18,1,299,538,0,1
17,19,0,299,570,1,1
18,0,0,0,1,1,1
18,1,2,4,24,1,1
18,2,1,50,70,0,1
18,3,0,50,77,1,1
18,4,2,161,195,1,1
18,5,2,157,204,1,1
18,6,2,250,306,1,1
18,7,1,300,356,0,1
18,8,0,300,418,1,1
18,9,1,315,433,0,1
18,10,0,315,441,1,1
18,11,1,319,445,0,1
18,12,0,319,495,1,1
18,13,1,324,500,0,1
18,14,0,324,882,1,1
19,0,0,0,1,1,1
19,1,1,9,10,0,1
19,2,0,9,19,1,1
19,3,2,302,317,1,1
19,4,1,304,319,0,1
19,5,0,304,329,1,1
19,6,1,347,372,0,1
19,7,0,347,375,1,1
19,8,2,408,439,1,1
19,9,3,433,441,1,1
20,0,0,0,1,1,1
20,1,2,8,17,1,1
20,2,2,204,229,1,1
22,0,0,0,1,1,1
22,1,1,21,21,0,1
22,2,0,21,83,1,1
22,3,2,65,135,1,1
22,4,2,179,260,1,1
22,5,1,179,260,0,1
22,6,0,179,262,1,1
22,7,1,185,268,0,1
22,8,0,185,402,1,1
25,0,0,0,1,1,1
26,0,0,0,1,1,1
28,0,0,0,1,1,1
28,1,1,188,188,0,1
28,2,0,188,221,1,1
29,0,0,0,1,1,1
29,1,3,402,338,1,1
30,0,0,0,1,1,1
31,0,0,0,1,1,1
31,1,2,67,145,1,1
31,2,1,255,333,0,1
31,3,0,255,340,1,1
31,4,2,182,393,1,1
31,5,1,182,393,0,1
31,6,2,131,397,0,1
31,7,3,155,401,0,1
31,8,3,167,406,0,1
31,9,1,167,406,0,1
31,10,3,173,418,0,1
31,11,1,195,440,0,1
31,12,3,310,444,0,1
31,13,1,310,444,0,1
32,0,0,0,2,1,1
33,0,0,0,3,1,1
34,0,0,0,1,1,1
34,1,1,69,69,0,1
34,2,0,69,2173,1,1
34,3,2,145,2268,1,1
34,4,2,150,2288,1,1
34,5,2,165,2317,1,1
34,6,1,208,2360,0,1
34,7,0,208,2594,1,1
34,8,2,223,2615,1,1
34,9,1,225,2617,0,1
34,10,0,225,2643,1,1
34,11,2,249,2673,1,1
34,12,1,253,2678,0,1
34,13,0,253,2699,1,1
34,14,1,255,2701,0,1
34,15,0,255,3855,1,1
34,16,2,257,3861,1,1
34,17,2,281,3895,1,1
34,18,1,302,3916,0,1
34,19,0,302,4651,1,1
34,20,2,371,4730,1,1
35,0,0,0,1,1,1
35,1,1,199,199,0,1
35,2,0,199,204,1,1
36,0,0,0,1,1,1
36,1,1,12,13,0,1
36,2,0,12,64,1,1
36,3,1,36,88,0,1
36,4,0,36,268,1,1
36,5,1,73,305,0,1
36,6,0,73,313,1,1
36,7,2,52,321,1,1
36,8,2,45,326,1,1
36,9,3,67,328,1,1
36,10,1,87,350,0,1
36,11,0,87,362,1,1
36,12,1,110,385,0,1
36,13,0,110,394,1,1
36,14,2,154,444,1,1
36,15,1,154,445,0,1
36,16,0,154,456,1,1
36,17,1,253,554,0,1
36,18,0,253,561,1,1
36,19,1,366,674,0,1
36,20,0,366,680,1,1
37,0,0,0,2,1,1
37,1,1,167,168,0,1
37,2,0,167,643,1,1
37,3,2,219,711,1,1
37,4,3,236,722,1,1
37,5,2,235,728,1,1
38,0,0,0,2,1,1
38,1,2,15,30,1,1
38,2,2,46,70,1,1
38,3,3,57,77,1,1
38,4,1,63,83,0,1
38,5,0,63,131,1,1
38,6,2,63,138,1,1
38,7,1,82,157,0,1
38,8,0,82,159,1,1
38,9,2,324,408,1,1
40,0,0,0,2,1,1
40,1,2,58,78,1,1
40,2,3,75,87,1,1
49,0,0,0,1,1,1
49,1,1,4,5,0,1
49,2,0,4,10,1,1
49,3,1,6,12,0,1
49,4,0,6,31,1,1
50,0,0,0,1,1,1
50,1,1,208,208,0,1
50,2,0,208,571,1,1
50,3,1,245,608,0,1
50,4,0,245,1114,1,1
51,0,0,0,1,1,1
53,0,0,0,1,1,1
54,0,0,0,1,1,1
55,0,0,0,1,1,1
56,0,0,0,2,1,1
57,0,0,0,1,1,1
57,1,2,154,159,1,1
58,0,0,0,3,1,1
58,1,2,206,221,1,1
60,0,0,0,3,1,1
61,0,0,0,2,1,1
62,0,0,5,40,1,1
62,1,1,17,52,0,1
62,2,0,17,107,1,1
62,3,1,75,165,0,1
62,4,0,75,184,1,1
62,5,1,79,188,0,1
62,6,0,79,223,1,1
62,7,1,135,279,0,1
62,8,0,135,290,1,1
62,9,1,137,292,0,1
62,10,0,137,328,1,1
62,11,1,178,368,0,1
62,12,0,178,389,1,1
63,0,0,0,5,1,1
63,1,1,16,21,0,1
63,2,0,16,32,1,1
64,0,0,0,8,1,1
64,1,1,2,10,0,1
64,2,0,2,13,1,1
64,3,1,5,16,0,1
64,4,0,5,20,1,1
64,5,1,30,45,0,1
64,6,0,30,48,1,1
64,7,1,40,58,0,1
64,8,0,40,61,1,1
64,9,2,201,553,1,1
64,10,3,220,557,1,1
64,11,3,228,562,1,1
64,12,3,247,567,1,1
64,13,3,554,580,1,1
65,0,0,0,37,1,1
65,1,1,1,38,0,1
65,2,0,1,40,1,1
65,3,1,2,41,0,1
65,4,0,2,44,1,1
65,5,3,8,48,1,1
65,6,1,8,48,0,1
65,7,0,8,52,1,1
65,8,1,10,54,0,1
65,9,0,10,58,1,1
65,10,1,15,63,0,1
65,11,0,15,65,1,1
65,12,1,18,68,0,1
65,13,0,18,74,1,1
65,14,1,27,83,0,1
65,15,0,27,88,1,1
65,16,1,34,95,0,1
65,17,0,34,98,1,1
65,18,1,54,118,0,1
65,19,0,54,121,1,1
65,20,1,57,124,0,1
65,21,0,57,183,1,1
65,22,1,122,248,0,1
65,23,0,122,291,1,1
65,24,0,125,296,1,1
65,25,1,126,297,0,1
65,26,0,126,300,1,1
65,27,1,129,303,0,1
65,28,0,129,309,1,1
65,29,1,137,317,0,1
65,30,0,137,324,1,1
65,31,1,147,334,0,1
65,32,0,147,337,1,1
65,33,1,155,345,0,1
65,34,0,155,351,1,1
65,35,1,162,358,0,1
65,36,0,162,404,1,1
65,37,1,229,471,0,1
65,38,0,229,513,1,1
65,39,1,310,593,0,1
65,40,0,310,596,1,1
65,41,1,312,599,0,1
65,42,0,312,601,1,1
65,43,1,371,659,0,1
65,44,0,371,664,1,1
65,45,1,391,683,0,1
65,46,0,391,686,1,1
65,47,1,412,707,0,1
65,48,0,412,756,1,1
66,0,0,0,1,1,1
66,1,1,36,36,0,1
66,2,0,36,40,1,1
66,3,1,38,42,0,1
66,4,0,38,45,1,1
66,5,2,35,52,1,1
66,6,2,33,58,1,1
66,7,2,44,81,1,1
66,8,3,48,87,1,1
66,9,2,264,309,1,1
67,0,0,0,3,1,1
67,1,1,3,7,0,1
67,2,0,3,10,1,1
67,3,2,164,183,1,1
67,4,1,303,322,0,1
67,5,0,303,324,1,1
67,6,1,304,325,0,1
67,7,0,304,329,1,1
68,0,0,0,1,1,1
69,0,0,0,1,1,1
70,0,0,0,1,1,1
71,0,0,0,1,1,1
72,0,0,0,2,1,1
73,0,0,0,1,1,1
73,1,1,251,251,0,1
73,2,0,251,253,1,1
74,0,0,0,2,1,1
74,1,1,483,484,0,1
75,0,0,0,2,1,1
75,1,1,61,63,0,1
75,2,0,61,76,1,1
75,3,1,296,310,0,1
75,4,0,296,322,1,1
76,0,0,0,9,1,1
76,1,1,1,10,0,1
76,2,0,1,24,1,1
76,3,1,3,26,0,1
76,4,0,3,38,1,1
76,5,1,9,44,0,1
76,6,0,9,49,1,1
76,7,1,16,56,0,1
76,8,0,16,64,1,1
76,9,1,21,69,0,1
76,10,0,21,87,1,1
76,11,1,25,91,0,1
76,12,0,25,115,1,1
76,13,1,26,116,0,1
76,14,0,26,157,1,1
76,15,1,29,160,0,1
76,16,0,29,175,1,1
76,17,1,33,179,0,1
76,18,0,33,189,1,1
76,19,1,38,194,0,1
76,20,0,38,202,1,1
76,21,1,42,206,0,1
76,22,0,42,214,1,1
76,23,1,46,218,0,1
76,24,0,46,226,1,1
76,25,1,50,230,0,1
76,26,0,50,235,1,1
76,27,1,55,240,0,1
76,28,0,55,247,1,1
76,29,1,58,250,0,1
76,30,0,58,366,1,1
76,31,1,110,418,0,1
76,32,0,110,444,1,1
