,,event,position,timestamp,status,rate
14,21,1,162,521,0,1
14,22,0,162,531,1,1
14,23,1,171,540,0,1
14,24,0,171,547,1,1
14,25,1,179,555,0,1
14,26,0,179,568,1,1
14,27,1,213,602,0,1
14,28,0,213,1744,1,1
14,29,1,221,1752,0,1
14,30,0,221,1806,1,1
14,31,1,266,1850,0,1
14,32,0,266,2005,1,1
14,33,1,282,2021,0,1
14,34,0,282,2042,1,1
15,0,0,0,3,1,1
15,1,1,45,56,0,1
15,2,0,45,64,1,1
15,3,1,101,120,0,1
15,4,0,101,129,1,1
15,5,2,301,343,1,1
15,6,2,302,364,1,1
16,0,0,0,1,1,1
16,1,0,87,162,1,1
16,2,0,105,198,1,1
16,3,0,122,275,1,1
16,4,0,147,342,1,1
16,5,1,154,354,0,1
16,6,0,154,398,1,1
16,7,2,159,410,1,1
16,8,1,161,413,0,1
16,9,0,161,419,1,1
16,10,1,164,422,0,1
16,11,0,164,428,1,1
16,12,1,168,432,0,1
16,13,0,168,438,1,1
16,14,1,177,447,0,1
16,15,0,177,453,1,1
16,16,1,224,505,0,1
16,17,0,224,545,1,1
16,18,1,252,576,0,1
16,19,0,252,583,1,1
16,20,1,255,586,0,1
16,21,0,255,591,1,1
16,22,0,270,608,1,1
16,23,1,271,609,0,1
16,24,0,271,614,1,1
16,25,1,293,636,0,1
16,26,0,293,644,1,1
16,27,1,303,660,0,1
16,28,0,303,667,1,1
16,29,1,308,672,0,1
16,30,1,310,679,0,1
16,31,0,310,1116,1,1
16,32,2,337,1153,1,1
16,33,1,338,1155,0,1
16,34,0,338,1162,1,1
17,0,0,0,1,1,1
17,1,3,272,6,1,1
18,0,0,0,2,1,1
18,1,0,19,48,1,1
18,2,1,249,282,0,1
18,3,0,249,306,1,1
18,4,1,290,347,0,1
18,5,0,290,352,1,1
18,6,1,300,368,0,1
18,7,0,300,378,1,1
19,0,0,0,1,1,1
19,1,0,1,11,1,1
19,2,2,65,84,1,1
19,3,0,65,89,1,1
19,4,2,170,220,0,1
19,5,0,173,268,1,1
19,6,3,188,289,1,1
19,7,2,198,317,1,1
19,8,2,190,324,1,1
19,9,2,188,361,1,1
19,10,2,203,407,1,1
19,11,2,200,429,1,1
19,12,1,299,538,0,1
19,13,0,299,570,1,1
20,0,0,0,1,1,1
20,1,1,50,70,0,1
20,2,0,50,77,1,1
20,3,2,161,195,1,1
20,4,2,157,204,1,1
20,5,2,250,306,1,1
20,6,1,300,356,0,1
20,7,0,300,418,1,1
20,8,1,315,433,0,1
20,9,0,315,441,1,1
20,10,1,319,445,0,1
20,11,0,319,495,1,1
20,12,1,324,500,0,1
21,0,0,0,1,1,1
21,1,0,9,19,1,1
21,2,1,304,319,0,1
21,3,0,304,329,1,1
21,4,1,347,372,0,1
21,5,0,347,375,1,1
21,6,0,413,441,1,1
21,7,3,430,442,1,1
21,8,3,433,445,1,1
22,0,0,0,1,1,1
22,1,2,8,21,1,1
23,0,0,0,1,1,1
23,1,2,45,56,1,1
24,0,0,0,1,1,1
24,1,0,21,83,1,1
24,2,0,179,262,1,1
24,3,0,185,402,1,1
25,0,2,390,323,-1,1.0
25,1,0,0,383,1,1.0
25,2,4,6,8,1,1.25
26,0,0,0,1,1,1.0
26,1,6,276,279,1,1.0
27,0,0,0,1,1,1
28,0,0,0,1,1,1
29,0,0,0,1,1,1
29,1,0,196,197,1,1
30,0,0,0,1,1,1
30,1,0,188,221,1,1
31,0,0,0,1,1,1
32,0,0,0,1,1,1
33,0,0,0,1,1,1
33,1,1,255,333,0,1
33,2,0,255,340,1,1
33,3,1,182,393,0,1
33,4,2,131,397,0,1
33,5,3,155,401,0,1
33,6,1,167,406,0,1
33,7,3,173,418,0,1
33,8,1,195,440,0,1
